target_date,chronology_block,decision_rule,baseline_value,comparator_value,source_rows,effect,estimand,estimand_label,baseline_name,comparator_name,positive_effect_interpretation,rule_order,estimand_order,block_order
2026-06-30,external_test,12h_prior,3.0,0.7456075910621384,1,2.2543924089378615,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-01,external_test,6h_prior,2.8999999999999986,0.6843702173247572,1,2.2156297826752414,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,1
2026-06-02,external_test,6h_prior,2.3999999999999986,0.45002678298132603,1,1.9499732170186725,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,1
2026-06-03,external_test,6h_prior,2.9999999999999964,0.7456075910621359,1,2.2543924089378606,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,1
2026-06-04,external_test,6h_prior,1.1000000000000014,0.436264156718705,1,0.6637358432812964,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,1
2026-06-05,external_test,6h_prior,1.7000000000000028,0.3022995102540549,1,1.397700489745948,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,1
2026-06-06,external_test,6h_prior,1.0,1.956213651668194,1,-0.956213651668194,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,1
2026-06-07,external_test,6h_prior,3.5,1.127930823385372,1,2.372069176614628,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,1
2026-06-08,external_test,6h_prior,3.6999999999999993,1.2982591062136515,1,2.401740893786348,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,1
2026-06-09,external_test,6h_prior,1.2999999999999972,0.3655570860116354,1,0.9344429139883618,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,1
2026-06-10,external_test,6h_prior,0.7000000000000028,0.6376530456075888,1,0.062346954392414,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,1
2026-06-11,external_test,6h_prior,1.1999999999999993,0.396870217324764,1,0.8031297826752353,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,1
