scope_type,scope_value,split,model,benchmark,metric,dates,mean_model_minus_market,median_model_minus_market,model_better_fraction,market_better_fraction
decision_rule,24h_prior,all_exact_support,matern,market,binary_log,82,0.01329069215983527,0.026432312232867877,0.3170731707317073,0.6829268292682927
decision_rule,24h_prior,all_exact_support,matern,market,categorical_log,82,0.13088961688261214,0.25551863603615943,0.3048780487804878,0.6951219512195121
decision_rule,24h_prior,all_exact_support,matern,market,multiclass_brier,82,0.02946148285194257,0.06453294461229742,0.3902439024390244,0.6097560975609756
decision_rule,12h_prior,development,matern,market,binary_brier,60,0.001638666763888388,0.004309300368640807,0.38333333333333336,0.6166666666666667
decision_rule,12h_prior,development,matern,market,binary_log,60,0.006866063660502567,0.022268843534613707,0.36666666666666664,0.6333333333333333
decision_rule,12h_prior,development,matern,market,categorical_log,60,0.06881386659757514,0.1834132286550964,0.3333333333333333,0.6666666666666666
decision_rule,12h_prior,development,matern,market,multiclass_brier,60,0.01906822025685068,0.04440012583047843,0.38333333333333336,0.6166666666666667
decision_rule,12h_prior,june_external,matern,market,binary_brier,28,0.006963220348349329,0.011674052330852766,0.2857142857142857,0.7142857142857143
decision_rule,12h_prior,june_external,matern,market,binary_log,28,0.02745348821372345,0.03779753537161712,0.21428571428571427,0.7857142857142857
decision_rule,12h_prior,june_external,matern,market,categorical_log,28,0.25190144195682945,0.3327914776520542,0.17857142857142858,0.8214285714285714
decision_rule,12h_prior,june_external,matern,market,multiclass_brier,28,0.07426145484420496,0.11901931439536179,0.2857142857142857,0.7142857142857143
decision_rule,12h_prior,all_exact_support,matern,market,binary_brier,88,0.0033328429043986887,0.007818607215762195,0.3522727272727273,0.6477272727272727
decision_rule,12h_prior,all_exact_support,matern,market,binary_log,88,0.013416607836527395,0.032577334277122824,0.3181818181818182,0.6818181818181818
decision_rule,12h_prior,all_exact_support,matern,market,categorical_log,88,0.12706900421188336,0.2659810815925918,0.2840909090909091,0.7159090909090909
decision_rule,12h_prior,all_exact_support,matern,market,multiclass_brier,88,0.03662970398919068,0.08266135952250286,0.3522727272727273,0.6477272727272727
decision_rule,6h_prior,development,matern,market,binary_brier,58,0.0017767226011585436,0.003981650188854036,0.43103448275862066,0.5689655172413793
decision_rule,6h_prior,development,matern,market,binary_log,58,0.006038415768120605,0.01903033885712538,0.3620689655172414,0.6379310344827587
decision_rule,6h_prior,development,matern,market,categorical_log,58,0.05431234004005254,0.22221770440989452,0.3620689655172414,0.6379310344827587
decision_rule,6h_prior,development,matern,market,multiclass_brier,58,0.019850829784296295,0.05171250218689705,0.43103448275862066,0.5689655172413793
decision_rule,6h_prior,june_external,matern,market,binary_brier,29,0.01222755298415238,0.013688506771602806,0.2413793103448276,0.7586206896551724
decision_rule,6h_prior,june_external,matern,market,binary_log,29,0.045302193744073925,0.05011085888557462,0.13793103448275862,0.8620689655172413
decision_rule,6h_prior,june_external,matern,market,categorical_log,29,0.40551446368550065,0.4263193338649389,0.13793103448275862,0.8620689655172413
decision_rule,6h_prior,june_external,matern,market,multiclass_brier,29,0.13280557579818797,0.1383868602726428,0.2413793103448276,0.7586206896551724
decision_rule,6h_prior,all_exact_support,matern,market,binary_brier,87,0.005260332728823156,0.009367189733553632,0.367816091954023,0.632183908045977
