scope_type,scope_value,split,model,benchmark,metric,dates,point_model_minus_market,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
overall,all_rules,all_exact_support,static,market,binary_brier,97,0.0017704503570809698,circular_moving_block,7.0,-0.0026698193112059034,0.005749238773441827,10000,20268104,settlement_date
overall,all_rules,all_exact_support,static,market,binary_log,97,0.008469688083150002,circular_moving_block,7.0,-0.009918946573348885,0.0246726100236462,10000,20268104,settlement_date
overall,all_rules,all_exact_support,static,market,categorical_log,97,0.08453398403598061,circular_moving_block,7.0,-0.08335393319562792,0.23329888769021925,10000,20268104,settlement_date
overall,all_rules,all_exact_support,static,market,multiclass_brier,97,0.020421886261152593,circular_moving_block,7.0,-0.02845465586901435,0.06394540580524245,10000,20268104,settlement_date
overall,all_rules,all_exact_support,matern,market,binary_brier,97,0.001975927465119838,ordinary_date,,-0.0019252934101581568,0.005753929494439906,10000,20268804,settlement_date
overall,all_rules,all_exact_support,matern,market,binary_log,97,0.009824252186121018,ordinary_date,,-0.0035628849293755046,0.022482146636862144,10000,20268804,settlement_date
overall,all_rules,all_exact_support,matern,market,categorical_log,97,0.09794086034434159,ordinary_date,,-0.021386739855853758,0.2095178678272985,10000,20268804,settlement_date
overall,all_rules,all_exact_support,matern,market,multiclass_brier,97,0.022682134449580157,ordinary_date,,-0.019371519817320482,0.06350880347480593,10000,20268804,settlement_date
overall,all_rules,all_exact_support,matern,market,binary_brier,97,0.001975927465119838,circular_moving_block,3.0,-0.0022108067788406526,0.005823394839057893,10000,20268904,settlement_date
overall,all_rules,all_exact_support,matern,market,binary_log,97,0.009824252186121018,circular_moving_block,3.0,-0.0060702345273776145,0.02400867249349665,10000,20268904,settlement_date
overall,all_rules,all_exact_support,matern,market,categorical_log,97,0.09794086034434159,circular_moving_block,3.0,-0.04510112765785097,0.2252066445409009,10000,20268904,settlement_date
overall,all_rules,all_exact_support,matern,market,multiclass_brier,97,0.022682134449580157,circular_moving_block,3.0,-0.02311945020693801,0.06448868377119421,10000,20268904,settlement_date
overall,all_rules,all_exact_support,matern,market,binary_brier,97,0.001975927465119838,circular_moving_block,5.0,-0.002340567633485654,0.005910357732741767,10000,20269004,settlement_date
overall,all_rules,all_exact_support,matern,market,binary_log,97,0.009824252186121018,circular_moving_block,5.0,-0.007381875350871739,0.02496428253291443,10000,20269004,settlement_date
overall,all_rules,all_exact_support,matern,market,categorical_log,97,0.09794086034434159,circular_moving_block,5.0,-0.05853366840090162,0.23506004793128304,10000,20269004,settlement_date
overall,all_rules,all_exact_support,matern,market,multiclass_brier,97,0.022682134449580157,circular_moving_block,5.0,-0.024662085254132105,0.06572994453870401,10000,20269004,settlement_date
overall,all_rules,all_exact_support,matern,market,binary_brier,97,0.001975927465119838,circular_moving_block,7.0,-0.002485209514623662,0.0059501428749227534,10000,20269104,settlement_date
overall,all_rules,all_exact_support,matern,market,binary_log,97,0.009824252186121018,circular_moving_block,7.0,-0.0081740856202756,0.025589123349874003,10000,20269104,settlement_date
overall,all_rules,all_exact_support,matern,market,categorical_log,97,0.09794086034434159,circular_moving_block,7.0,-0.06513204784342749,0.24236115265594424,10000,20269104,settlement_date
overall,all_rules,all_exact_support,matern,market,multiclass_brier,97,0.022682134449580157,circular_moving_block,7.0,-0.0265378045285043,0.06620363560139451,10000,20269104,settlement_date
decision_rule,24h_prior,development,raw,market,binary_brier,55,0.09789252727272728,ordinary_date,,0.08109669609504135,0.11246823710743803,10000,20269804,settlement_date
decision_rule,24h_prior,development,raw,market,binary_log,55,4.3527546055799595,ordinary_date,,3.966594173189173,4.7198839507609325,10000,20269804,settlement_date
decision_rule,24h_prior,development,raw,market,categorical_log,55,23.615140835925338,ordinary_date,,21.420275711434222,25.644280620232344,10000,20269804,settlement_date
decision_rule,24h_prior,development,raw,market,multiclass_brier,55,1.0761959267344807,ordinary_date,,0.8926242338665327,1.2341687025873391,10000,20269804,settlement_date
decision_rule,24h_prior,development,raw,market,binary_brier,55,0.09789252727272728,circular_moving_block,3.0,0.08072044595041325,0.11264421233471075,10000,20269904,settlement_date
decision_rule,24h_prior,development,raw,market,binary_log,55,4.3527546055799595,circular_moving_block,3.0,3.8944987175777808,4.722125386552496,10000,20269904,settlement_date
decision_rule,24h_prior,development,raw,market,categorical_log,55,23.615140835925338,circular_moving_block,3.0,21.081146036923208,25.666803728953074,10000,20269904,settlement_date
decision_rule,24h_prior,development,raw,market,multiclass_brier,55,1.0761959267344807,circular_moving_block,3.0,0.8887253998251505,1.2364481863313377,10000,20269904,settlement_date
decision_rule,24h_prior,development,raw,market,binary_brier,55,0.09789252727272728,circular_moving_block,5.0,0.08257258793388429,0.11145625969008265,10000,20270004,settlement_date
decision_rule,24h_prior,development,raw,market,binary_log,55,4.3527546055799595,circular_moving_block,5.0,3.9751378187587822,4.718440674602605,10000,20270004,settlement_date
decision_rule,24h_prior,development,raw,market,categorical_log,55,23.615140835925338,circular_moving_block,5.0,21.488504023294105,25.634938158633904,10000,20270004,settlement_date
decision_rule,24h_prior,development,raw,market,multiclass_brier,55,1.0761959267344807,circular_moving_block,5.0,0.9090911046006687,1.2241673798625763,10000,20270004,settlement_date
decision_rule,24h_prior,development,raw,market,binary_brier,55,0.09789252727272728,circular_moving_block,7.0,0.0833377368285124,0.11132354336776856,10000,20270104,settlement_date
decision_rule,24h_prior,development,raw,market,binary_log,55,4.3527546055799595,circular_moving_block,7.0,3.9823662049296655,4.714580059044961,10000,20270104,settlement_date
decision_rule,24h_prior,development,raw,market,categorical_log,55,23.615140835925338,circular_moving_block,7.0,21.55010840629691,25.598460660197834,10000,20270104,settlement_date
decision_rule,24h_prior,development,raw,market,multiclass_brier,55,1.0761959267344807,circular_moving_block,7.0,0.9179093567706057,1.2226898420236092,10000,20270104,settlement_date
decision_rule,24h_prior,june_external,raw,market,binary_brier,27,0.12310268686868688,ordinary_date,,0.11760644168771046,0.12834823409090912,10000,20270804,settlement_date
decision_rule,24h_prior,june_external,raw,market,binary_log,27,4.839799041667145,ordinary_date,,4.824605483919295,4.853769831564925,10000,20270804,settlement_date
decision_rule,24h_prior,june_external,raw,market,categorical_log,27,26.40136359613921,ordinary_date,,26.274305293436548,26.513857574549284,10000,20270804,settlement_date
decision_rule,24h_prior,june_external,raw,market,multiclass_brier,27,1.3519257693118125,ordinary_date,,1.2939620626224113,1.4073896183144559,10000,20270804,settlement_date
decision_rule,24h_prior,june_external,raw,market,binary_brier,27,0.12310268686868688,circular_moving_block,3.0,0.1178158816919192,0.1286105533670034,10000,20270904,settlement_date
