stage,evidence_source,source_path,source_row,chronology_block,decision_rule,strategy,metric,numeric_value,text_value
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,input_hashes.data/processed/certified_event_books.csv,,58b51e288df864ce359da7c2fb863b935358227c88a192d362a1daca7c489ab1
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,minimum_development_trades,8,8
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,output_hashes.outputs/diagnostics/12_development_balanced_support_dates.csv,,e3d008355b31abf57e3099a7b914f13f69a48cbb7a9563048befd4b2ebce741a
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,probability_calibration_reselected,0,False
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,selected_development_mean_date_net_payoff,0.12,0.12
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,selected_development_trade_count,25,25
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,selected_edge_threshold,0.075,0.075
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,selected_rule,,24h_prior
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,selected_strategy,,24h_prior__tau_0.075
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,strict_development_winner_mean_date_net_payoff,0.201568965517,0.20156896551724146
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,trading_returns_calculated,1,True
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,weather_model_reselected,0,False
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,0,holdout,,24h_prior__tau_0.075,calendar_dates,10,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,0,holdout,,24h_prior__tau_0.075,cumulative_gross_payoff,0.6045,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,0,holdout,,24h_prior__tau_0.075,cumulative_net_payoff,0.5645,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,0,holdout,,24h_prior__tau_0.075,market_supported_dates,10,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,0,holdout,,24h_prior__tau_0.075,market_unsupported_dates,0,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,0,holdout,,24h_prior__tau_0.075,maximum_drawdown_net_payoff,-0.325,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,0,holdout,,24h_prior__tau_0.075,mean_calendar_date_net_payoff,0.05645,
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,0,holdout,,24h_prior__tau_0.075,mean_supported_date_net_payoff,0.05645,
