weight_gp,weight_market,development_dates,development_books,date_balanced_categorical_log
0.4860000000,0.5140000000,100,385,1.4324719182
0.4870000000,0.5130000000,100,385,1.4326003758
0.4880000000,0.5120000000,100,385,1.4327291767
0.4890000000,0.5110000000,100,385,1.4328583208
0.4900000000,0.5100000000,100,385,1.4329878081
0.4910000000,0.5090000000,100,385,1.4331176384
0.4920000000,0.5080000000,100,385,1.4332478117
0.4930000000,0.5070000000,100,385,1.4333783278
0.4940000000,0.5060000000,100,385,1.4335091868
0.4950000000,0.5050000000,100,385,1.4336403885
0.4960000000,0.5040000000,100,385,1.4337719328
0.4970000000,0.5030000000,100,385,1.4339038198
0.4980000000,0.5020000000,100,385,1.4340360492
0.4990000000,0.5010000000,100,385,1.4341686211
0.5000000000,0.5000000000,100,385,1.4343015353
0.5010000000,0.4990000000,100,385,1.4344347919
0.5020000000,0.4980000000,100,385,1.4345683907
0.5030000000,0.4970000000,100,385,1.4347023317
0.5040000000,0.4960000000,100,385,1.4348366149
0.5050000000,0.4950000000,100,385,1.4349712401
0.5060000000,0.4940000000,100,385,1.4351062073
0.5070000000,0.4930000000,100,385,1.4352415165
0.5080000000,0.4920000000,100,385,1.4353771677
0.5090000000,0.4910000000,100,385,1.4355131606
0.5100000000,0.4900000000,100,385,1.4356494954
0.5110000000,0.4890000000,100,385,1.4357861720
0.5120000000,0.4880000000,100,385,1.4359231903
0.5130000000,0.4870000000,100,385,1.4360605503
0.5140000000,0.4860000000,100,385,1.4361982519
0.5150000000,0.4850000000,100,385,1.4363362952
0.5160000000,0.4840000000,100,385,1.4364746800
0.5170000000,0.4830000000,100,385,1.4366134064
0.5180000000,0.4820000000,100,385,1.4367524743
0.5190000000,0.4810000000,100,385,1.4368918836
0.5200000000,0.4800000000,100,385,1.4370316344
0.5210000000,0.4790000000,100,385,1.4371717267
0.5220000000,0.4780000000,100,385,1.4373121603
0.5230000000,0.4770000000,100,385,1.4374529353
0.5240000000,0.4760000000,100,385,1.4375940517
0.5250000000,0.4750000000,100,385,1.4377355095
0.5260000000,0.4740000000,100,385,1.4378773085
0.5270000000,0.4730000000,100,385,1.4380194489
0.5280000000,0.4720000000,100,385,1.4381619305
0.5290000000,0.4710000000,100,385,1.4383047535
0.5300000000,0.4700000000,100,385,1.4384479177
0.5310000000,0.4690000000,100,385,1.4385914232
0.5320000000,0.4680000000,100,385,1.4387352699
0.5330000000,0.4670000000,100,385,1.4388794579
0.5340000000,0.4660000000,100,385,1.4390239872
0.5350000000,0.4650000000,100,385,1.4391688577
0.5360000000,0.4640000000,100,385,1.4393140695
0.5370000000,0.4630000000,100,385,1.4394596226
0.5380000000,0.4620000000,100,385,1.4396055169
0.5390000000,0.4610000000,100,385,1.4397517525
0.5400000000,0.4600000000,100,385,1.4398983294
0.5410000000,0.4590000000,100,385,1.4400452475
0.5420000000,0.4580000000,100,385,1.4401925070
0.5430000000,0.4570000000,100,385,1.4403401078
0.5440000000,0.4560000000,100,385,1.4404880500
0.5450000000,0.4550000000,100,385,1.4406363335
0.5460000000,0.4540000000,100,385,1.4407849583
0.5470000000,0.4530000000,100,385,1.4409339246
0.5480000000,0.4520000000,100,385,1.4410832323
0.5490000000,0.4510000000,100,385,1.4412328815
0.5500000000,0.4500000000,100,385,1.4413828721
0.5510000000,0.4490000000,100,385,1.4415332043
0.5520000000,0.4480000000,100,385,1.4416838779
0.5530000000,0.4470000000,100,385,1.4418348932
0.5540000000,0.4460000000,100,385,1.4419862500
0.5550000000,0.4450000000,100,385,1.4421379485
0.5560000000,0.4440000000,100,385,1.4422899887
0.5570000000,0.4430000000,100,385,1.4424423706
0.5580000000,0.4420000000,100,385,1.4425950942
0.5590000000,0.4410000000,100,385,1.4427481597
0.5600000000,0.4400000000,100,385,1.4429015670
