source,grouping_definition,target_date,decision_rule,request_id,run_id,forecast_issue_time_utc,decision_time_utc,source_rows,target_day_rows,unique_local_hours,conflicting_hours,earliest_valid_hour_hkt,latest_valid_hour_hkt,forecast_daily_max_c,source_preference,status,reason,selection_rule
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-15,event_day_open,,,2026-06-14T06:00:00Z,2026-06-14T16:00:00Z,24,24,24,0,2026-06-15 00:00:00+08:00,2026-06-15 23:00:00+08:00,27.8,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-16,12h_prior,,,2026-06-14T18:00:00Z,2026-06-15T04:00:00Z,24,24,24,0,2026-06-16 00:00:00+08:00,2026-06-16 23:00:00+08:00,26.5,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-16,24h_prior,,,2026-06-14T06:00:00Z,2026-06-14T16:00:00Z,24,24,24,0,2026-06-16 00:00:00+08:00,2026-06-16 23:00:00+08:00,26.4,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-16,6h_prior,,,2026-06-15T00:00:00Z,2026-06-15T10:00:00Z,24,24,24,0,2026-06-16 00:00:00+08:00,2026-06-16 23:00:00+08:00,27.6,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-16,event_day_open,,,2026-06-15T06:00:00Z,2026-06-15T16:00:00Z,24,24,24,0,2026-06-16 00:00:00+08:00,2026-06-16 23:00:00+08:00,26.2,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-17,12h_prior,,,2026-06-15T18:00:00Z,2026-06-16T04:00:00Z,24,24,24,0,2026-06-17 00:00:00+08:00,2026-06-17 23:00:00+08:00,27.0,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-17,24h_prior,,,2026-06-15T06:00:00Z,2026-06-15T16:00:00Z,24,24,24,0,2026-06-17 00:00:00+08:00,2026-06-17 23:00:00+08:00,26.5,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-17,6h_prior,,,2026-06-16T00:00:00Z,2026-06-16T10:00:00Z,24,24,24,0,2026-06-17 00:00:00+08:00,2026-06-17 23:00:00+08:00,26.4,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-17,event_day_open,,,2026-06-16T06:00:00Z,2026-06-16T16:00:00Z,24,24,24,0,2026-06-17 00:00:00+08:00,2026-06-17 23:00:00+08:00,27.1,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-18,12h_prior,,,2026-06-16T18:00:00Z,2026-06-17T04:00:00Z,24,24,24,0,2026-06-18 00:00:00+08:00,2026-06-18 23:00:00+08:00,28.2,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-18,24h_prior,,,2026-06-16T06:00:00Z,2026-06-16T16:00:00Z,24,24,24,0,2026-06-18 00:00:00+08:00,2026-06-18 23:00:00+08:00,26.1,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-18,6h_prior,,,2026-06-17T00:00:00Z,2026-06-17T10:00:00Z,24,24,24,0,2026-06-18 00:00:00+08:00,2026-06-18 23:00:00+08:00,27.4,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
