event_date,market_id,market_slug,group_item_title,yes_token_id,contract_event_type,threshold_c,lower_bound_c,upper_bound_c,event_rank,decision_rule,decision_cutoff_utc,target_available,hko_daily_max_c,Y,empirical_period,market_price_available,market_raw_yes,selected_price_timestamp_unix,selected_price_timestamp_utc,record_age_hours,book_contracts,prices_available,market_book_sum,market_book_complete,market_normalised
2026-03-17,1609228,highest-temperature-in-hong-kong-on-march-17-2026-24c,24°C,5519714897316392424620467314930107991429427796210736821556360577603335683128,interior_bin,24,24.0,25.0,7,6h_prior,2026-03-16T10:00:00+00:00,True,24.0,1.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609228,highest-temperature-in-hong-kong-on-march-17-2026-24c,24°C,5519714897316392424620467314930107991429427796210736821556360577603335683128,interior_bin,24,24.0,25.0,7,event_day_open,2026-03-16T16:00:00+00:00,True,24.0,1.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609229,highest-temperature-in-hong-kong-on-march-17-2026-25c,25°C,53511384592913421092099637635384463703865039027729014211533444169155360475780,interior_bin,25,25.0,26.0,8,24h_prior,2026-03-15T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609229,highest-temperature-in-hong-kong-on-march-17-2026-25c,25°C,53511384592913421092099637635384463703865039027729014211533444169155360475780,interior_bin,25,25.0,26.0,8,12h_prior,2026-03-16T04:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609229,highest-temperature-in-hong-kong-on-march-17-2026-25c,25°C,53511384592913421092099637635384463703865039027729014211533444169155360475780,interior_bin,25,25.0,26.0,8,6h_prior,2026-03-16T10:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609229,highest-temperature-in-hong-kong-on-march-17-2026-25c,25°C,53511384592913421092099637635384463703865039027729014211533444169155360475780,interior_bin,25,25.0,26.0,8,event_day_open,2026-03-16T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609230,highest-temperature-in-hong-kong-on-march-17-2026-26c,26°C,83521332951951659959183456926834991075070286924702650079224309738528544896272,interior_bin,26,26.0,27.0,9,24h_prior,2026-03-15T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609230,highest-temperature-in-hong-kong-on-march-17-2026-26c,26°C,83521332951951659959183456926834991075070286924702650079224309738528544896272,interior_bin,26,26.0,27.0,9,12h_prior,2026-03-16T04:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609230,highest-temperature-in-hong-kong-on-march-17-2026-26c,26°C,83521332951951659959183456926834991075070286924702650079224309738528544896272,interior_bin,26,26.0,27.0,9,6h_prior,2026-03-16T10:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609230,highest-temperature-in-hong-kong-on-march-17-2026-26c,26°C,83521332951951659959183456926834991075070286924702650079224309738528544896272,interior_bin,26,26.0,27.0,9,event_day_open,2026-03-16T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609231,highest-temperature-in-hong-kong-on-march-17-2026-27corhigher,27°C or higher,90201303442793564200994242062868707253275954439605696810946009562152635995543,upper_tail,27,27.0,inf,10,24h_prior,2026-03-15T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609231,highest-temperature-in-hong-kong-on-march-17-2026-27corhigher,27°C or higher,90201303442793564200994242062868707253275954439605696810946009562152635995543,upper_tail,27,27.0,inf,10,12h_prior,2026-03-16T04:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609231,highest-temperature-in-hong-kong-on-march-17-2026-27corhigher,27°C or higher,90201303442793564200994242062868707253275954439605696810946009562152635995543,upper_tail,27,27.0,inf,10,6h_prior,2026-03-16T10:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609231,highest-temperature-in-hong-kong-on-march-17-2026-27corhigher,27°C or higher,90201303442793564200994242062868707253275954439605696810946009562152635995543,upper_tail,27,27.0,inf,10,event_day_open,2026-03-16T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-18,1609283,highest-temperature-in-hong-kong-on-march-18-2026-18corbelow,18°C or below,110474255066493490332588316800377380653285496596456220682434262080826926516690,lower_tail_endpoint,18,-inf,19.0,0,24h_prior,2026-03-16T16:00:00+00:00,True,27.8,0.0,market_development,False,,,,,11,0,,False,
2026-03-18,1609284,highest-temperature-in-hong-kong-on-march-18-2026-19c,19°C,37360368221043859735577577762103864480884668984172010078154389162590441254438,interior_bin,19,19.0,20.0,1,24h_prior,2026-03-16T16:00:00+00:00,True,27.8,0.0,market_development,False,,,,,11,0,,False,
2026-03-18,1609285,highest-temperature-in-hong-kong-on-march-18-2026-20c,20°C,22145438231607492786248212827857227280720837366678546698439731971698231574617,interior_bin,20,20.0,21.0,2,24h_prior,2026-03-16T16:00:00+00:00,True,27.8,0.0,market_development,False,,,,,11,0,,False,
2026-03-18,1609286,highest-temperature-in-hong-kong-on-march-18-2026-21c,21°C,22934479917760701215287278315472904846214466137533312331227437532354462195085,interior_bin,21,21.0,22.0,3,24h_prior,2026-03-16T16:00:00+00:00,True,27.8,0.0,market_development,False,,,,,11,0,,False,
