model,decision_rule,strategy,threshold,n_books,n_active_books,n_positions,total_stake,total_net_pnl,mean_net_pnl_per_book,mean_net_pnl_per_active_book,positive_pnl_book_rate
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.1,10,7,12,7.0,0.30935943552833967,0.030935943552833967,0.0441942050754771,0.2857142857142857
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.1,10,7,10,7.0,0.25189012115648196,0.025189012115648196,0.03598430302235457,0.2857142857142857
catboost_raw,6h_prior,proportional_positive_edge,0.1,10,6,9,6.0,0.0751567835629795,0.00751567835629795,0.012526130593829917,0.16666666666666666
catboost_platt,6h_prior,proportional_positive_edge,0.1,10,6,9,6.0,0.07313546488915879,0.007313546488915879,0.012189244148193121,0.16666666666666666
ecmwf_bias_fixed_sigma,6h_prior,proportional_positive_edge,0.1,10,8,13,8.0,0.025051677109600184,0.0025051677109600183,0.003131459638700023,0.25
catboost_raw,event_day_open,proportional_positive_edge,0.1,10,7,10,7.0,-0.058916489756501655,-0.005891648975650166,-0.008416641393785966,0.14285714285714285
ecmwf_raw,event_day_open,proportional_positive_edge,0.1,10,10,27,10.0,-0.2180071742778015,-0.02180071742778015,-0.02180071742778015,0.0
ecmwf_raw,6h_prior,proportional_positive_edge,0.1,10,10,27,10.0,-0.26880128367564127,-0.026880128367564128,-0.026880128367564128,0.0
catboost_platt,24h_prior,proportional_positive_edge,0.1,10,3,4,3.0,-0.32829600696647576,-0.03282960069664757,-0.10943200232215859,0.0
ecmwf_raw,12h_prior,proportional_positive_edge,0.1,10,9,24,9.0,-0.3536180296358692,-0.035361802963586916,-0.039290892181763244,0.0
ecmwf_raw,24h_prior,proportional_positive_edge,0.1,10,9,19,9.0,-0.382959993851429,-0.0382959993851429,-0.04255111042793655,0.0
catboost_raw,12h_prior,proportional_positive_edge,0.1,10,7,9,7.0,-0.4122029841753343,-0.04122029841753343,-0.05888614059647633,0.14285714285714285
catboost_platt,event_day_open,proportional_positive_edge,0.1,10,5,8,5.0,-0.6865570376506098,-0.06865570376506099,-0.13731140753012197,0.0
catboost_platt,12h_prior,proportional_positive_edge,0.1,10,6,7,6.0,-0.7503208823311887,-0.07503208823311887,-0.12505348038853145,0.0
ecmwf_bias_fixed_sigma,12h_prior,single_best_edge,0.1,10,6,6,6.0,1.44,0.144,0.24,0.5
ecmwf_bias_adaptive_sigma,12h_prior,single_best_edge,0.1,10,5,5,5.0,1.385,0.1385,0.277,0.6
catboost_raw,24h_prior,single_best_edge,0.1,10,5,5,5.0,0.9699999999999999,0.09699999999999999,0.19399999999999992,0.4
ecmwf_bias_adaptive_sigma,24h_prior,single_best_edge,0.1,10,3,3,3.0,0.6100000000000001,0.06100000000000001,0.20333333333333337,0.6666666666666666
ecmwf_bias_fixed_sigma,24h_prior,single_best_edge,0.1,10,3,3,3.0,0.6100000000000001,0.06100000000000001,0.20333333333333337,0.6666666666666666
ecmwf_bias_fixed_sigma,6h_prior,single_best_edge,0.1,10,8,8,8.0,0.29700000000000004,0.029700000000000004,0.037125000000000005,0.125
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.1,10,7,7,7.0,0.265,0.026500000000000003,0.03785714285714286,0.14285714285714285
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.1,10,7,7,7.0,0.07350000000000001,0.007350000000000001,0.010499999999999985,0.14285714285714285
catboost_platt,6h_prior,single_best_edge,0.1,10,6,6,6.0,0.044499999999999984,0.004449999999999998,0.007416666666666664,0.16666666666666666
catboost_raw,6h_prior,single_best_edge,0.1,10,6,6,6.0,0.044499999999999984,0.004449999999999998,0.007416666666666664,0.16666666666666666
catboost_raw,event_day_open,single_best_edge,0.1,10,7,7,7.0,-0.09350000000000003,-0.009350000000000002,-0.01335714285714286,0.14285714285714285
ecmwf_raw,event_day_open,single_best_edge,0.1,10,10,10,10.0,-0.15500000000000003,-0.015500000000000003,-0.015500000000000003,0.0
ecmwf_raw,6h_prior,single_best_edge,0.1,10,10,10,10.0,-0.24350000000000002,-0.024350000000000004,-0.024350000000000004,0.0
ecmwf_bias_fixed_sigma,event_day_open,single_best_edge,0.1,10,6,6,6.0,-0.306,-0.0306,-0.05100000000000001,0.0
ecmwf_raw,12h_prior,single_best_edge,0.1,10,9,9,9.0,-0.31950000000000006,-0.031950000000000006,-0.035500000000000004,0.0
catboost_platt,24h_prior,single_best_edge,0.1,10,3,3,3.0,-0.37,-0.037,-0.12333333333333334,0.0
ecmwf_raw,24h_prior,single_best_edge,0.1,10,9,9,9.0,-0.45249999999999996,-0.04525,-0.05027777777777778,0.0
catboost_platt,event_day_open,single_best_edge,0.1,10,5,5,5.0,-0.7184999999999999,-0.07185,-0.1437,0.0
catboost_platt,12h_prior,single_best_edge,0.1,10,6,6,6.0,-0.7699999999999998,-0.07699999999999999,-0.12833333333333333,0.0
catboost_raw,12h_prior,single_best_edge,0.1,10,7,7,7.0,-0.8389999999999997,-0.08389999999999997,-0.11985714285714286,0.0
