model,decision_rule,strategy,threshold,event_date,n_positions,total_stake,net_pnl,cumulative_net_pnl
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.02,2026-05-29,2,1.0,-0.09792099803587045,-0.33975454797482685
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.02,2026-05-30,2,1.0,0.3610963021715691,0.021341754196742224
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.02,2026-05-31,4,1.0,0.37225269487175155,0.3935944490684938
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.05,2026-05-22,2,1.0,-0.1581534720485311,-0.1581534720485311
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.05,2026-05-23,3,1.0,0.31032358921458447,0.15217011716605336
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.05,2026-05-24,0,0.0,0.0,0.15217011716605336
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.05,2026-05-25,1,1.0,-0.06,0.09217011716605336
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.05,2026-05-26,2,1.0,-0.11400103189530852,-0.021830914729255163
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.05,2026-05-27,1,1.0,-0.15,-0.17183091472925516
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.05,2026-05-28,1,1.0,-0.15,-0.3218309147292552
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.05,2026-05-29,1,1.0,-0.12,-0.4418309147292552
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.05,2026-05-30,2,1.0,0.3610963021715691,-0.0807346125576861
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.05,2026-05-31,3,0.9999999999999999,0.39768455017940024,0.31694993762171414
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.1,2026-05-22,1,1.0,-0.185,-0.185
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.1,2026-05-23,2,1.0,0.376205976895351,0.19120597689535102
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.1,2026-05-24,0,0.0,0.0,0.19120597689535102
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.1,2026-05-25,1,1.0,-0.06,0.13120597689535102
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.1,2026-05-26,2,1.0,-0.11400103189530852,0.017204945000042493
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.1,2026-05-27,1,1.0,-0.15,-0.1327950549999575
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.1,2026-05-28,1,1.0,-0.15,-0.2827950549999575
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.1,2026-05-29,0,0.0,0.0,-0.2827950549999575
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.1,2026-05-30,0,0.0,0.0,-0.2827950549999575
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.1,2026-05-31,2,1.0,0.5346851761564395,0.251890121156482
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.0,2026-05-22,1,1.0,-0.185,-0.185
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.0,2026-05-23,1,1.0,-0.0665,-0.2515
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.0,2026-05-24,1,1.0,-0.02,-0.2715
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.0,2026-05-25,1,1.0,-0.06,-0.3315
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.0,2026-05-26,1,1.0,-0.16,-0.4915
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.0,2026-05-27,1,1.0,-0.15,-0.6415
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.0,2026-05-28,1,1.0,-0.15,-0.7915
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.0,2026-05-29,1,1.0,-0.12,-0.9115
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.0,2026-05-30,1,1.0,0.74,-0.17149999999999999
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.0,2026-05-31,1,1.0,0.845,0.6735
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.02,2026-05-22,1,1.0,-0.185,-0.185
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.02,2026-05-23,1,1.0,-0.0665,-0.2515
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.02,2026-05-24,1,1.0,-0.02,-0.2715
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.02,2026-05-25,1,1.0,-0.06,-0.3315
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.02,2026-05-26,1,1.0,-0.16,-0.4915
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.02,2026-05-27,1,1.0,-0.15,-0.6415
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.02,2026-05-28,1,1.0,-0.15,-0.7915
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.02,2026-05-29,1,1.0,-0.12,-0.9115
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.02,2026-05-30,1,1.0,0.74,-0.17149999999999999
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.02,2026-05-31,1,1.0,0.845,0.6735
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.05,2026-05-22,1,1.0,-0.185,-0.185
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.05,2026-05-23,1,1.0,-0.0665,-0.2515
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.05,2026-05-24,0,0.0,0.0,-0.2515
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.05,2026-05-25,1,1.0,-0.06,-0.3115
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.05,2026-05-26,1,1.0,-0.16,-0.47150000000000003
