pipeline,model,decision_rule,strategy,threshold,robustness_cost,staleness_rule,staleness_quantile,max_staleness_hours,unrestricted_staleness,n_books,n_active_books,n_positions,n_dates,total_net_pnl,mean_net_pnl_per_active_book,positive_book_rate
21b,catboost_platt,6h_prior,proportional_positive_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,10,3,4,3,-0.38024103449231245,-0.12674701149743747,0.0
21b,catboost_platt,6h_prior,single_best_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,10,5,5,5,-0.6300000000000001,-0.126,0.0
21b,catboost_platt,6h_prior,single_best_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,10,5,5,5,-0.6300000000000001,-0.126,0.0
21b,catboost_platt,6h_prior,single_best_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,10,3,3,3,-0.43000000000000005,-0.14333333333333334,0.0
21b,catboost_platt,event_day_open,proportional_positive_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,10,1,5,1,-0.0451934717280172,-0.0451934717280172,0.0
21b,catboost_platt,event_day_open,proportional_positive_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,10,4,5,4,-0.5957117521283353,-0.14892793803208382,0.0
21b,catboost_platt,event_day_open,proportional_positive_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,10,3,3,3,-0.55,-0.18333333333333335,0.0
21b,catboost_platt,event_day_open,single_best_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,10,5,5,5,-0.7115,-0.1423,0.0
21b,catboost_platt,event_day_open,single_best_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,10,4,4,4,-0.645,-0.16125,0.0
21b,catboost_platt,event_day_open,single_best_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,10,3,3,3,-0.55,-0.18333333333333335,0.0
21b,catboost_raw,12h_prior,proportional_positive_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,10,4,7,4,-0.5648219173743889,-0.14120547934359723,0.0
21b,catboost_raw,12h_prior,proportional_positive_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,10,5,5,5,-0.69,-0.138,0.0
21b,catboost_raw,12h_prior,proportional_positive_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,10,4,4,4,-0.5899999999999999,-0.14750000000000002,0.0
21b,catboost_raw,12h_prior,single_best_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,10,6,6,6,-0.7549999999999999,-0.12583333333333335,0.0
