model,scope,scope_value,series,lag_days,autocorrelation,dates
matern32,overall,all,squared_standardised_residual,14,0.1228473311125381,365
matern32,decision_rule,24h_prior,standardised_residual,1,0.4871441440637662,365
matern32,decision_rule,24h_prior,standardised_residual,2,0.3200770466970333,365
matern32,decision_rule,24h_prior,standardised_residual,3,0.2979611912522876,365
matern32,decision_rule,24h_prior,standardised_residual,4,0.2525987166823029,365
matern32,decision_rule,24h_prior,standardised_residual,5,0.2457924525177782,365
matern32,decision_rule,24h_prior,standardised_residual,6,0.2551354891826496,365
matern32,decision_rule,24h_prior,standardised_residual,7,0.2180414768694349,365
matern32,decision_rule,24h_prior,standardised_residual,8,0.1920240108370985,365
matern32,decision_rule,24h_prior,standardised_residual,9,0.2105676551001212,365
matern32,decision_rule,24h_prior,standardised_residual,10,0.1815709841402529,365
matern32,decision_rule,24h_prior,standardised_residual,11,0.1511808579471423,365
matern32,decision_rule,24h_prior,standardised_residual,12,0.1956400397978927,365
matern32,decision_rule,24h_prior,standardised_residual,13,0.1687234206889825,365
matern32,decision_rule,24h_prior,standardised_residual,14,0.1270165887564801,365
matern32,decision_rule,24h_prior,absolute_standardised_residual,1,0.2420806242492731,365
matern32,decision_rule,24h_prior,absolute_standardised_residual,2,0.135212457607716,365
matern32,decision_rule,24h_prior,absolute_standardised_residual,3,0.1432209880796366,365
matern32,decision_rule,24h_prior,absolute_standardised_residual,4,0.0551957729360365,365
matern32,decision_rule,24h_prior,absolute_standardised_residual,5,0.0124703172717308,365
matern32,decision_rule,24h_prior,absolute_standardised_residual,6,0.0063862377792613,365
matern32,decision_rule,24h_prior,absolute_standardised_residual,7,-0.004421888881763,365
matern32,decision_rule,24h_prior,absolute_standardised_residual,8,-0.0979377930003751,365
matern32,decision_rule,24h_prior,absolute_standardised_residual,9,0.0441665577137286,365
matern32,decision_rule,24h_prior,absolute_standardised_residual,10,0.0118063374522701,365
matern32,decision_rule,24h_prior,absolute_standardised_residual,11,-0.0433784054757359,365
matern32,decision_rule,24h_prior,absolute_standardised_residual,12,0.0115529212900706,365
matern32,decision_rule,24h_prior,absolute_standardised_residual,13,0.0610141885023066,365
matern32,decision_rule,24h_prior,absolute_standardised_residual,14,0.0978054498386659,365
matern32,decision_rule,24h_prior,squared_standardised_residual,1,0.3179978552534519,365
matern32,decision_rule,24h_prior,squared_standardised_residual,2,0.1562741414182605,365
matern32,decision_rule,24h_prior,squared_standardised_residual,3,0.1529112479727149,365
matern32,decision_rule,24h_prior,squared_standardised_residual,4,0.0836870956702082,365
matern32,decision_rule,24h_prior,squared_standardised_residual,5,0.0208845129773231,365
matern32,decision_rule,24h_prior,squared_standardised_residual,6,-0.006511483291593,365
matern32,decision_rule,24h_prior,squared_standardised_residual,7,-0.0137994876851211,365
matern32,decision_rule,24h_prior,squared_standardised_residual,8,-0.0973635165974861,365
matern32,decision_rule,24h_prior,squared_standardised_residual,9,-0.0002686944463899,365
matern32,decision_rule,24h_prior,squared_standardised_residual,10,0.0004696741609347,365
matern32,decision_rule,24h_prior,squared_standardised_residual,11,-0.038700760184195,365
matern32,decision_rule,24h_prior,squared_standardised_residual,12,-0.0252186665105888,365
matern32,decision_rule,24h_prior,squared_standardised_residual,13,0.0581506546496987,365
matern32,decision_rule,24h_prior,squared_standardised_residual,14,0.0814272952893572,365
matern32,decision_rule,12h_prior,standardised_residual,1,0.4754761694678896,365
matern32,decision_rule,12h_prior,standardised_residual,2,0.3139361582387656,365
matern32,decision_rule,12h_prior,standardised_residual,3,0.258305202133443,365
matern32,decision_rule,12h_prior,standardised_residual,4,0.2206031677249712,365
matern32,decision_rule,12h_prior,standardised_residual,5,0.2040752537942908,365
matern32,decision_rule,12h_prior,standardised_residual,6,0.2232624827338834,365
matern32,decision_rule,12h_prior,standardised_residual,7,0.1338512950396542,365
matern32,decision_rule,12h_prior,standardised_residual,8,0.1329717271040509,365
matern32,decision_rule,12h_prior,standardised_residual,9,0.1326860760489609,365
matern32,decision_rule,12h_prior,standardised_residual,10,0.1275148691248873,365
matern32,decision_rule,12h_prior,standardised_residual,11,0.1157492861289006,365
matern32,decision_rule,12h_prior,standardised_residual,12,0.1827199151981468,365
matern32,decision_rule,12h_prior,standardised_residual,13,0.231802157724329,365
matern32,decision_rule,12h_prior,standardised_residual,14,0.170452387143092,365
matern32,decision_rule,12h_prior,absolute_standardised_residual,1,0.2032809454516233,365
matern32,decision_rule,12h_prior,absolute_standardised_residual,2,0.1318275303145171,365
matern32,decision_rule,12h_prior,absolute_standardised_residual,3,0.1054651715082849,365
matern32,decision_rule,12h_prior,absolute_standardised_residual,4,-0.0163023053963882,365
matern32,decision_rule,12h_prior,absolute_standardised_residual,5,0.0245431893910183,365
matern32,decision_rule,12h_prior,absolute_standardised_residual,6,0.0265613096386598,365
matern32,decision_rule,12h_prior,absolute_standardised_residual,7,0.0985092726922534,365
matern32,decision_rule,12h_prior,absolute_standardised_residual,8,-0.0518718688066046,365
matern32,decision_rule,12h_prior,absolute_standardised_residual,9,0.044811408773315,365
matern32,decision_rule,12h_prior,absolute_standardised_residual,10,0.0378301539856883,365
matern32,decision_rule,12h_prior,absolute_standardised_residual,11,-0.0235959299151746,365
matern32,decision_rule,12h_prior,absolute_standardised_residual,12,0.0199064712874502,365
matern32,decision_rule,12h_prior,absolute_standardised_residual,13,0.0352987826035228,365
matern32,decision_rule,12h_prior,absolute_standardised_residual,14,0.1049710956212724,365
matern32,decision_rule,12h_prior,squared_standardised_residual,1,0.2012170313228585,365
matern32,decision_rule,12h_prior,squared_standardised_residual,2,0.1290570574789722,365
matern32,decision_rule,12h_prior,squared_standardised_residual,3,0.0644041097888492,365
matern32,decision_rule,12h_prior,squared_standardised_residual,4,0.0174056277277756,365
matern32,decision_rule,12h_prior,squared_standardised_residual,5,0.048340361880424,365
matern32,decision_rule,12h_prior,squared_standardised_residual,6,-0.002854278343654,365
matern32,decision_rule,12h_prior,squared_standardised_residual,7,0.0619850219431198,365
matern32,decision_rule,12h_prior,squared_standardised_residual,8,-0.0561945665068737,365
matern32,decision_rule,12h_prior,squared_standardised_residual,9,0.0197380105348655,365
matern32,decision_rule,12h_prior,squared_standardised_residual,10,0.0113122372765877,365
matern32,decision_rule,12h_prior,squared_standardised_residual,11,-0.0554818811906603,365
matern32,decision_rule,12h_prior,squared_standardised_residual,12,0.0023219788120749,365
matern32,decision_rule,12h_prior,squared_standardised_residual,13,0.048792513818154,365
matern32,decision_rule,12h_prior,squared_standardised_residual,14,0.1462204483037587,365
matern32,decision_rule,6h_prior,standardised_residual,1,0.4815032739871815,365
matern32,decision_rule,6h_prior,standardised_residual,2,0.3250162485649029,365
matern32,decision_rule,6h_prior,standardised_residual,3,0.2713548924185255,365
matern32,decision_rule,6h_prior,standardised_residual,4,0.2421830177487656,365
matern32,decision_rule,6h_prior,standardised_residual,5,0.2016272273884668,365
matern32,decision_rule,6h_prior,standardised_residual,6,0.2036448748609189,365
matern32,decision_rule,6h_prior,standardised_residual,7,0.1219573471135671,365
matern32,decision_rule,6h_prior,standardised_residual,8,0.1422866478843614,365
matern32,decision_rule,6h_prior,standardised_residual,9,0.105459970636014,365
matern32,decision_rule,6h_prior,standardised_residual,10,0.1174128279053255,365
matern32,decision_rule,6h_prior,standardised_residual,11,0.1165929256573171,365
matern32,decision_rule,6h_prior,standardised_residual,12,0.1588066193411418,365
matern32,decision_rule,6h_prior,standardised_residual,13,0.2353098797949565,365
matern32,decision_rule,6h_prior,standardised_residual,14,0.1429619954925398,365
matern32,decision_rule,6h_prior,absolute_standardised_residual,1,0.2136064449853149,365
matern32,decision_rule,6h_prior,absolute_standardised_residual,2,0.1329114884617977,365
matern32,decision_rule,6h_prior,absolute_standardised_residual,3,0.1126813640595036,365
matern32,decision_rule,6h_prior,absolute_standardised_residual,4,0.0187490555698367,365
matern32,decision_rule,6h_prior,absolute_standardised_residual,5,0.0112253572999266,365
matern32,decision_rule,6h_prior,absolute_standardised_residual,6,0.0117313032245112,365
matern32,decision_rule,6h_prior,absolute_standardised_residual,7,0.1003840211734403,365
