scope_type,scope_value,contrast,model,benchmark,primary,dates,metric,point_estimate,bootstrap_method,block_parameter_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
overall,all_dates,rbf_minus_static,rbf,static,False,365,mean_loss_difference_c,-0.03419308160811756,stationary_bootstrap,5.0,-0.0652464188367068,-0.0062041624540302934,10000,20261302,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,mean_improvement_c,0.03419308160811756,stationary_bootstrap,5.0,0.006204162454030289,0.06524641883670679,10000,20261302,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,median_loss_difference_c,-0.0037003404648978666,stationary_bootstrap,5.0,-0.0099750483253635,0.00027189182088482866,10000,20261302,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,model_better_fraction,0.5643835616438356,stationary_bootstrap,5.0,0.4931506849315068,0.6328767123287671,10000,20261302,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,mean_loss_difference_c,-0.04841455108832304,stationary_bootstrap,5.0,-0.08319399785080313,-0.015075136989626217,10000,20261302,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,mean_improvement_c,0.04841455108832304,stationary_bootstrap,5.0,0.015075136989626209,0.08319399785080313,10000,20261302,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,median_loss_difference_c,-0.0147809350191217,stationary_bootstrap,5.0,-0.04246707211268119,0.003084483243172398,10000,20261302,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,model_better_fraction,0.5589041095890411,stationary_bootstrap,5.0,0.4712328767123288,0.6438356164383562,10000,20261302,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,mean_loss_difference_c,-0.014221469480205487,stationary_bootstrap,5.0,-0.02527572703361988,-0.003922431369695213,10000,20261302,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,mean_improvement_c,0.014221469480205487,stationary_bootstrap,5.0,0.0039224313696952125,0.025275727033619876,10000,20261302,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,median_loss_difference_c,-0.007223284425000087,stationary_bootstrap,5.0,-0.01864116724999998,0.002247142400000013,10000,20261302,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,model_better_fraction,0.5671232876712329,stationary_bootstrap,5.0,0.4794520547945205,0.6520547945205479,10000,20261302,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,mean_loss_difference_c,-0.8681234630680137,stationary_bootstrap,5.0,-1.0940661232696822,-0.6399906419220582,10000,20261302,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,mean_improvement_c,0.8681234630680137,stationary_bootstrap,5.0,0.6399906419220582,1.094066123269682,10000,20261302,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,median_loss_difference_c,-0.9972931454749986,stationary_bootstrap,5.0,-1.38302746185,-0.5085980545499996,10000,20261302,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,model_better_fraction,0.7041095890410959,stationary_bootstrap,5.0,0.6328767123287671,0.7726027397260274,10000,20261302,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,mean_loss_difference_c,-0.8823449325482193,stationary_bootstrap,5.0,-1.1066095661734563,-0.6571862280221468,10000,20261302,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,mean_improvement_c,0.8823449325482193,stationary_bootstrap,5.0,0.6571862280221468,1.1066095661734563,10000,20261302,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,median_loss_difference_c,-0.9890612448000002,stationary_bootstrap,5.0,-1.3748099025749987,-0.5243134991250009,10000,20261302,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,model_better_fraction,0.7123287671232876,stationary_bootstrap,5.0,0.6410958904109589,0.7808219178082192,10000,20261302,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,mean_loss_difference_c,-0.8339303814598961,stationary_bootstrap,7.0,-1.0847869896838338,-0.5821038251984874,10000,20261402,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,mean_improvement_c,0.8339303814598961,stationary_bootstrap,7.0,0.5821038251984874,1.0847869896838338,10000,20261402,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,median_loss_difference_c,-1.0142907337261,stationary_bootstrap,7.0,-1.4352846097857077,-0.48200954046713596,10000,20261402,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,model_better_fraction,0.7041095890410959,stationary_bootstrap,7.0,0.6219178082191781,0.7863013698630137,10000,20261402,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,mean_loss_difference_c,-0.03419308160811756,stationary_bootstrap,7.0,-0.0658516976606914,-0.004809749371589384,10000,20261402,settlement_date
