target_date,contrast_order,contrast,model,benchmark,primary,interpretation,model_date_crps_c,benchmark_date_crps_c,loss_difference_c,improvement_c,validation_block,chronological_index,position_within_block,tail,tail_rank
2025-09-17,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,0.40855132735,3.6000000000000005,-3.1914486726500004,3.1914486726500004,3,186,4,largest_model_favouring_improvements,4
2025-09-29,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,0.622847043775,3.4750000000000023,-2.8521529562250025,2.8521529562250025,3,198,16,largest_model_favouring_improvements,5
2025-09-26,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,0.4721643937749999,3.299999999999998,-2.827835606224998,2.827835606224998,3,195,13,largest_model_favouring_improvements,6
2025-06-25,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,1.491245104525,4.300000000000001,-2.808754895475001,2.808754895475001,2,102,11,largest_model_favouring_improvements,7
2025-10-02,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,0.636036277525,3.3999999999999995,-2.7639637224749993,2.7639637224749993,3,201,19,largest_model_favouring_improvements,8
2025-10-03,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,0.5916824425,3.3249999999999984,-2.7333175574999986,2.7333175574999986,3,202,20,largest_model_favouring_improvements,9
2025-10-01,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,0.55246310755,3.2750000000000004,-2.7225368924500004,2.7225368924500004,3,200,18,largest_model_favouring_improvements,10
2025-09-23,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,1.8200601971,0.2749999999999985,1.5450601971000015,-1.5450601971000015,3,192,10,largest_benchmark_favouring_deteriorations,1
2025-10-20,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,1.44633094345,0.3500000000000005,1.0963309434499995,-1.0963309434499995,3,219,37,largest_benchmark_favouring_deteriorations,2
2025-03-18,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,3.000785191125,1.925,1.0757851911249998,-1.0757851911249998,1,3,3,largest_benchmark_favouring_deteriorations,3
2025-04-04,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,1.170869320425,0.1250000000000009,1.0458693204249991,-1.0458693204249991,1,20,20,largest_benchmark_favouring_deteriorations,4
2025-09-22,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,1.363315996675,0.325000000000001,1.0383159966749989,-1.0383159966749989,3,191,9,largest_benchmark_favouring_deteriorations,5
2025-04-01,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,1.490359145,0.4749999999999987,1.0153591450000012,-1.0153591450000012,1,17,17,largest_benchmark_favouring_deteriorations,6
2025-07-24,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,1.34080165675,0.3749999999999999,0.9658016567500002,-0.9658016567500002,2,131,40,largest_benchmark_favouring_deteriorations,7
2025-11-01,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,1.39154834725,0.4500000000000002,0.9415483472499999,-0.9415483472499999,3,231,49,largest_benchmark_favouring_deteriorations,8
2025-11-27,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,1.0491606665000002,0.1250000000000008,0.9241606664999994,-0.9241606664999994,3,257,75,largest_benchmark_favouring_deteriorations,9
2025-10-18,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,1.135714828575,0.2250000000000014,0.9107148285749986,-0.9107148285749986,3,217,35,largest_benchmark_favouring_deteriorations,10
