model,scope_type,scope_value,nominal_probability,empirical_probability,calibration_error,absolute_calibration_error,squared_calibration_error,rows,dates
rbf,decision_rule,6h_prior,0.47,0.4986301369863014,0.028630136986301402,0.028630136986301402,0.0008196847438543836,365,365
rbf,decision_rule,6h_prior,0.48,0.5041095890410959,0.024109589041095947,0.024109589041095947,0.0005812722837305337,365,365
rbf,decision_rule,6h_prior,0.49,0.5095890410958904,0.019589041095890436,0.019589041095890436,0.00038373053105648436,365,365
rbf,decision_rule,6h_prior,0.5,0.5260273972602739,0.02602739726027392,0.02602739726027392,0.0006774254081441144,365,365
rbf,decision_rule,6h_prior,0.51,0.5287671232876713,0.018767123287671272,0.018767123287671272,0.0003522049164946534,365,365
rbf,decision_rule,6h_prior,0.52,0.5397260273972603,0.01972602739726026,0.01972602739726026,0.00038911615687746236,365,365
rbf,decision_rule,6h_prior,0.53,0.547945205479452,0.017945205479451998,0.017945205479451998,0.000322030399699754,365,365
rbf,decision_rule,6h_prior,0.54,0.5534246575342465,0.013424657534246487,0.013424657534246487,0.00018022142991180098,365,365
rbf,decision_rule,6h_prior,0.55,0.5561643835616439,0.006164383561643838,0.006164383561643838,3.799962469506477e-05,365,365
rbf,decision_rule,6h_prior,0.56,0.5671232876712329,0.007123287671232825,0.007123287671232825,5.0741227247137565e-05,365,365
rbf,decision_rule,6h_prior,0.57,0.5835616438356165,0.013561643835616533,0.013561643835616533,0.0001839181835241159,365,365
rbf,decision_rule,6h_prior,0.58,0.6027397260273972,0.022739726027397267,0.022739726027397267,0.0005170951398010886,365,365
rbf,decision_rule,6h_prior,0.59,0.6082191780821918,0.018219178082191867,0.018219178082191867,0.0003319384499906205,365,365
rbf,decision_rule,6h_prior,0.6,0.6164383561643836,0.016438356164383605,0.016438356164383605,0.0002702195533871285,365,365
rbf,decision_rule,6h_prior,0.61,0.6273972602739726,0.017397260273972592,0.017397260273972592,0.0003026646650403449,365,365
rbf,decision_rule,6h_prior,0.62,0.6356164383561644,0.015616438356164442,0.015616438356164442,0.00024387314693188398,365,365
rbf,decision_rule,6h_prior,0.63,0.6410958904109589,0.01109589041095893,0.01109589041095893,0.00012311878401201034,365,365
rbf,decision_rule,6h_prior,0.64,0.6465753424657534,0.00657534246575342,0.00657534246575342,4.3235128541940264e-05,365,365
rbf,decision_rule,6h_prior,0.65,0.6575342465753424,0.007534246575342407,0.007534246575342407,5.676487145805879e-05,365,365
rbf,decision_rule,6h_prior,0.66,0.6684931506849315,0.008493150684931505,0.008493150684931505,7.213360855695249e-05,365,365
rbf,decision_rule,6h_prior,0.67,0.6684931506849315,-0.0015068493150685036,0.0015068493150685036,2.2705948583224185e-06,365,365
