model,scope,scope_value,stratification_variable,quartile,rows,dates,variable_minimum,variable_maximum,variable_mean,mean_squared_standardised_residual,mean_absolute_standardised_residual,central_90_empirical_coverage,mean_crps_c
matern32,decision_rule,12h_prior,predictive_standard_deviation_c,Q3,91,91,1.474725931,1.497327394,1.4828688672758241,1.4251847798010278,1.0122109432078314,0.8021978021978022,1.039927328408791
matern32,decision_rule,12h_prior,predictive_standard_deviation_c,Q4,91,91,1.4975886306,1.5595405917,1.5292722642395604,0.8978041512480249,0.7899217050867929,0.9120879120879121,0.826467739889011
matern32,decision_rule,12h_prior,temperature_predictive_mean_c,Q1,92,92,16.5341234187,23.7534546222,21.22101328888261,0.9768874606377338,0.7799133557695425,0.9021739130434783,0.8047246109130434
matern32,decision_rule,12h_prior,temperature_predictive_mean_c,Q2,91,91,23.7662859999,28.1016268687,26.24173072576154,1.4278282142644931,0.95731728456069,0.8241758241758241,0.9919148295131869
matern32,decision_rule,12h_prior,temperature_predictive_mean_c,Q3,91,91,28.2045224599,31.1961262211,29.826378107165937,1.0274387068329072,0.8273924689721762,0.8791208791208791,0.8406034551087912
matern32,decision_rule,12h_prior,temperature_predictive_mean_c,Q4,91,91,31.2644408825,35.2671214724,32.614711284137364,1.0772904690961667,0.8402791189259672,0.8681318681318682,0.8568239981098901
matern32,decision_rule,12h_prior,forecast_daily_max_c,Q1,92,92,15.0,22.6,19.827173913043477,1.0916679460788605,0.8193745173539321,0.8804347826086957,0.8453415611630435
matern32,decision_rule,12h_prior,forecast_daily_max_c,Q2,91,91,22.6,26.7,24.89120879120879,1.293741336721738,0.9083722475609126,0.8461538461538461,0.9432598928263736
matern32,decision_rule,12h_prior,forecast_daily_max_c,Q3,91,91,26.8,29.3,28.20659340659341,1.0302683042028884,0.8334080271071691,0.8791208791208791,0.8389614006747252
matern32,decision_rule,12h_prior,forecast_daily_max_c,Q4,91,91,29.3,33.5,30.725274725274726,1.0925059398119774,0.8433137970680722,0.8681318681318682,0.8660576988681319
matern32,decision_rule,6h_prior,predictive_standard_deviation_c,Q1,92,92,1.2396979866,1.4302921174,1.3579796971043478,1.1105653520605692,0.8081565517271979,0.8586956521739131,0.7845233708086957
matern32,decision_rule,6h_prior,predictive_standard_deviation_c,Q2,91,91,1.4307091568,1.4725525474,1.4597378635175826,1.0146218594993468,0.8030547470615321,0.8901098901098901,0.8315984247296703
matern32,decision_rule,6h_prior,predictive_standard_deviation_c,Q3,91,91,1.4726028675,1.4915162128,1.4846901809153845,1.524360198857025,1.016985255632289,0.7802197802197802,1.067503729434066
