model,scope,scope_value,bin_number,lower_bound,upper_bound,count,proportion,uniform_reference_proportion,proportion_error
matern32,validation_block,fold_03,6,0.5,0.6000000000000001,33,0.09065934065934066,0.1,-0.009340659340659349
matern32,validation_block,fold_03,7,0.6000000000000001,0.7000000000000001,29,0.07967032967032966,0.1,-0.02032967032967034
matern32,validation_block,fold_03,8,0.7000000000000001,0.8,31,0.08516483516483517,0.1,-0.014835164835164838
matern32,validation_block,fold_03,9,0.8,0.9,13,0.03571428571428571,0.1,-0.0642857142857143
matern32,validation_block,fold_03,10,0.9,1.0,5,0.013736263736263736,0.1,-0.08626373626373626
matern32,validation_block,fold_04,1,0.0,0.1,39,0.10597826086956522,0.1,0.005978260869565211
matern32,validation_block,fold_04,2,0.1,0.2,58,0.15760869565217392,0.1,0.057608695652173914
matern32,validation_block,fold_04,3,0.2,0.30000000000000004,55,0.14945652173913043,0.1,0.04945652173913043
matern32,validation_block,fold_04,4,0.30000000000000004,0.4,57,0.15489130434782608,0.1,0.054891304347826075
matern32,validation_block,fold_04,5,0.4,0.5,55,0.14945652173913043,0.1,0.04945652173913043
matern32,validation_block,fold_04,6,0.5,0.6000000000000001,29,0.07880434782608696,0.1,-0.021195652173913046
matern32,validation_block,fold_04,7,0.6000000000000001,0.7000000000000001,23,0.0625,0.1,-0.037500000000000006
matern32,validation_block,fold_04,8,0.7000000000000001,0.8,19,0.051630434782608696,0.1,-0.04836956521739131
matern32,validation_block,fold_04,9,0.8,0.9,18,0.04891304347826087,0.1,-0.051086956521739134
matern32,validation_block,fold_04,10,0.9,1.0,15,0.04076086956521739,0.1,-0.059239130434782614
