event_date,empirical_period,contract_key,12h_prior,24h_prior,6h_prior,event_day_open,contract_complete,taec_date_eligible
2026-05-16,market_development,113721191225144841261460320727288792168719212974880130544461037956879238539847,0.0095,0.0145,0.0095,0.0065,True,True
2026-05-16,market_development,19493461908730296750609986581469452258430661932961405471097643968124920307358,0.0005,0.0055,0.001,0.0005,True,True
2026-05-16,market_development,29025594965008108883763831626497816450131971819720658344679098751940917071205,0.001,0.005,0.001,0.0005,True,True
2026-05-16,market_development,39653268274267775140324412776547972231629237327661997507789868581856964270745,0.009,0.0075,0.0025,0.0005,True,True
2026-05-16,market_development,49251422393540469042558197301257259492117165823759027530326582245146033740967,0.09,0.14,0.045,0.0135,True,True
2026-05-16,market_development,52658770106106021644274655330755662855334665490230125493014657442764585430246,0.001,0.0065,0.001,0.001,True,True
2026-05-16,market_development,58582762181792542778714176707849631284955121442805476026087975232384247610409,0.265,0.345,0.165,0.095,True,True
2026-05-16,market_development,60035987003808180797776585885295745773667155019750170560078569427133512053125,0.001,0.0075,0.001,0.0005,True,True
2026-05-16,market_development,63125595624521513613286231678401034047549098606194941329026258055113262214478,0.21,0.12,0.345,0.415,True,True
2026-05-16,market_development,772820938561247221679172181579648227536020465529777598453044115589189171592,0.041,0.07,0.074,0.0995,True,True
2026-05-17,market_development,100451876515133776872293979841038985432194440993416485005942203005578008015980,0.001,0.002,0.001,0.001,True,True
2026-05-17,market_development,106089897150301684153259082427110507581961629439215631375870564583948727406150,0.09,0.095,0.265,0.425,True,True
2026-05-17,market_development,110347534006426468349841688553417670312448425507483301572437943040547124992317,0.355,0.325,0.21,0.165,True,True
2026-05-17,market_development,12409415617967721468472122667357984390108612788030749088695443590929467092156,0.0005,0.001,0.0005,0.001,True,True
2026-05-17,market_development,17681810195423421963527805637615815364492908524715875295217615875799313427266,0.0085,0.027,0.078,0.079,True,True
2026-05-17,market_development,25250575657942558326379728090880034114491775722736748326583376497321025810588,0.0035,0.006,0.0035,0.0075,True,True
2026-05-17,market_development,25604532780787826159399758004281852245765584397155702004806927826562280670938,0.001,0.001,0.0005,0.001,True,True
2026-05-17,market_development,30417988825332817194494585298782306343541381450842060946702542887079581508347,0.265,0.25,0.13,0.0295,True,True
2026-05-17,market_development,39214402263739215803819033538021279083419359837466589684517851297807593603630,0.0015,0.002,0.001,0.0005,True,True
2026-05-17,market_development,54773024212077317988219884725333270172610864359131427487574136372737021819281,0.065,0.095,0.045,0.0235,True,True
2026-05-17,market_development,73946102071360310031698138708372025475736770568738538877271385510404135828011,0.255,0.255,0.33,0.345,True,True
2026-05-18,market_development,100717734160834953263378829006282734159472079458343890835980927564769808046036,0.001,0.0035,0.0005,0.0005,True,True
2026-05-18,market_development,105252345077918886251365033173279156056843842521088331966656681493694610447188,0.0445,0.0265,0.015,0.0065,True,True
2026-05-18,market_development,112695168198623995103105939466129181959362233884825465596357512386430171965661,0.041,0.055,0.0355,0.0105,True,True
2026-05-18,market_development,30442818545398295234011398610060846146592092472724201467572259516578434015243,0.33,0.28,0.275,0.375,True,True
2026-05-18,market_development,36380509536600121130653671551189040508791760465212583125305510510085562996309,0.004,0.0055,0.0115,0.002,True,True
2026-05-18,market_development,53891012475382202982805047559067899346575711044138418006280605446080195771712,0.001,0.002,0.0005,0.0005,True,True
2026-05-18,market_development,67629562283111492378797054293583388616287599215342026350537702552291825914164,0.0005,0.001,0.0005,0.0015,True,True
2026-05-18,market_development,76357722085042531458695473006182832059728886412763143279133334883419289945574,0.045,0.0355,0.143,0.056,True,True
2026-05-18,market_development,80394443249751207008452561683088404903340424420257234399289145441234851954771,0.325,0.28,0.275,0.25,True,True
2026-05-18,market_development,85550746338866993772457839522396875221499216969689188068314738584144915431646,0.145,0.27,0.205,0.295,True,True
2026-05-18,market_development,8793371545582822810690698136612044556737147618554458155782168291347570682358,0.095,0.075,0.09,0.063,True,True
2026-05-19,market_development,104959457971715245666010875378201570714497944856816214443978685522395941332826,0.145,0.13,0.145,0.145,True,True
2026-05-19,market_development,18413139114928411020074446496021610142958755223354766180966411177493111955873,0.0115,0.0155,0.0115,0.0115,True,True
2026-05-19,market_development,20599903146950262084413399107369060055098304926072236876045838328464316814461,0.0015,0.0015,0.0015,0.0015,True,True
2026-05-19,market_development,27040897561914129457300400370185244423054684020780385207288509705314377285498,0.28,0.345,0.28,0.28,True,True
2026-05-19,market_development,42443848074910761606221314758970459486723017527726189691633823653360619188247,0.059,0.0435,0.059,0.059,True,True
2026-05-19,market_development,44887099073380111454032706196487891827024755811447954942694862415732867039620,0.0315,0.045,0.0315,0.0315,True,True
2026-05-19,market_development,59033362848191297765391532872128038614780338413977188857507990299644387412022,0.0015,0.0015,0.0015,0.0015,True,True
2026-05-19,market_development,59975451640647514848806198632700710235687282852409024623536039349376686612112,0.0015,0.0015,0.0015,0.0015,True,True
2026-05-19,market_development,86719807393186319580565532938301956774198774432147924453622580778139687418887,0.34,0.355,0.34,0.34,True,True
2026-05-19,market_development,89253221901485350408588116439993062627666535843127801737068908523012429325464,0.2,0.105,0.2,0.2,True,True
2026-05-19,market_development,92875188227023742495116476034717069996978997560534579790344362964273082106845,0.008,0.015,0.008,0.008,True,True
2026-05-21,market_development,1088911328007765772043259527121565887150185022011486078006460590521155854760,0.0375,,0.0785,0.1555,False,False
2026-05-21,market_development,11405449266944202762456782320775222084182102974477195524950821678302989465656,0.16,,0.1,0.0335,False,False
2026-05-21,market_development,13980687958025205345191386065578971498328266121284717216793888488013688396926,0.0045,,0.001,0.0005,False,False
2026-05-21,market_development,15986379679213501176556365725235961692149280962152861525494785504573385934582,0.0425,,0.006,0.0015,False,False
2026-05-21,market_development,24188340560741475656990358450046739215075818061703110898306500334506833540771,0.085,,0.04,0.003,False,False
2026-05-21,market_development,29285539856307098757580794232976695851440382702159186265026855108746910520135,0.265,,0.28,0.26,False,False
2026-05-21,market_development,42291164191897849012824670108798703606309133963433370473740258667918792084015,0.0035,,0.0005,0.0005,False,False
2026-05-21,market_development,50671770365707653834169605646098654137741867749346584944277391232245329830269,0.265,,0.2,0.105,False,False
2026-05-21,market_development,8298995960565799240763564117311752642850515541086574337436555603327232170699,0.0175,,0.0465,0.0645,False,False
2026-05-21,market_development,86111030474385495553359000184931303809538460286930919806103313600632241493089,0.015,,0.003,0.0015,False,False
2026-05-21,market_development,97223865193682261688742825766492471063863406340216167995358163516725806746357,0.19,,0.325,0.385,False,False
2026-05-22,market_development,10692819914953102764908198707868038762149898941231466220546380338246125232232,0.07,0.08,0.0355,0.0165,True,True
2026-05-22,market_development,107323321707178778830464204176531092246283454264625620504575806860381719459016,0.27,0.31,0.255,0.185,True,True
2026-05-22,market_development,109629970021802230843168378465115957781109094774460646710426609529224087542485,0.0025,0.003,0.0005,0.0005,True,True
2026-05-22,market_development,25194199608782784165316135869811696616199856850720636894398972446842237931123,0.455,0.405,0.615,0.745,True,True
2026-05-22,market_development,53954892659405040522860642160988576386786692206737548087824724668806440024330,0.011,0.0035,0.0015,0.001,True,True
2026-05-22,market_development,66396587548680826929290690142630459515964742879773631962648355543142630674602,0.0085,0.006,0.0015,0.0005,True,True
2026-05-22,market_development,71404157753204269922358465281476437838756537761233647260309858302269647833070,0.0075,0.003,0.0005,0.0005,True,True
2026-05-22,market_development,73404202593816886496853432908130319478294223164789934503673740864669410469692,0.0025,0.003,0.0005,0.0005,True,True
2026-05-22,market_development,78820001118560798716068213801281256525904319895213714878889124917352475141869,0.195,0.21,0.085,0.095,True,True
2026-05-22,market_development,80249621104258839709335359266804431703683653370021218181647168129494244955849,0.0015,0.003,0.0005,0.0005,True,True
2026-05-22,market_development,93655378080648777452527792602332260937897082763572416305298506836889824949150,0.0315,0.028,0.01,0.0015,True,True
2026-05-23,market_development,102441187471322381424546674671977716754138748081202642711895949756097880090535,0.075,0.09,0.065,0.0665,True,True
2026-05-23,market_development,107390633356888492461153475359508338029143685807064655244589969915997425563645,0.33,0.34,0.36,0.305,True,True
2026-05-23,market_development,113829054741903587674457264065734059664177119772233754461140462311692908517580,0.005,0.0075,0.0025,0.0005,True,True
2026-05-23,market_development,13885238404632021210234084656747082937265188231346930067843245471750306078365,0.315,0.175,0.115,0.115,True,True
2026-05-23,market_development,14190892160230349368865253836509138978234629010573613551878349019062285617512,0.0015,0.0025,0.0005,0.0005,True,True
2026-05-23,market_development,15849965020394779170972610266482237333085847524068009093300948850375618094825,0.0005,0.0005,0.0005,0.0005,True,True
2026-05-23,market_development,48617618467702276653385787897325723048504586830350765622618695941484942341808,0.0005,0.0005,0.0005,0.0005,True,True
2026-05-23,market_development,51307976754259505936250862989444315478011279665373407834676171032865062151613,0.033,0.039,0.0055,0.005,True,True
2026-05-23,market_development,74998723177643552906468620759399581177823713860543539712452487824698401005082,0.0005,0.0025,0.0005,0.0005,True,True
2026-05-23,market_development,80212591666306569079281204307428126431053460303624502107770048053789716465635,0.125,0.2,0.095,0.155,True,True
2026-05-23,market_development,86198208955597666628188544210173143350011612250978304020721075145725283053811,0.19,0.3,0.405,0.38,True,True
2026-05-24,market_development,107863761973719076075453473067985648964140612534967588438343580933447747902461,0.0065,0.0165,0.004,0.003,True,True
